Start time;Source;Bicycle count
11-09-2015 12:00;Voldersstraat;48
11-09-2015 12:00;Voldersstraat;168
11-09-2015 13:00;Voldersstraat - BikeDirection = West;49
11-09-2015 13:00;Voldersstraat - BikeDirection = East;168
11-09-2015 14:00;Dampoort Zuid;105
11-09-2015 14:00;Dampoort Zuid;24
11-09-2015 14:00;Voldersstraat - BikeDirection = West;30
11-09-2015 14:00;Voldersstraat - BikeDirection = East;150
11-09-2015 15:00;Dampoort Noord - ZoneId = 1;128
11-09-2015 15:00;Voldersstraat - BikeDirection = West;43
11-09-2015 15:00;Voldersstraat - BikeDirection = East;208
11-09-2015 16:00;Dampoort Noord - ZoneId = 1;319
11-09-2015 16:00;Dampoort Noord - ZoneId = 2;12
11-09-2015 16:00;Voldersstraat - BikeDirection = West;71
11-09-2015 16:00;Voldersstraat - BikeDirection = East;253
11-09-2015 17:00;Dampoort Noord - ZoneId = 1;297
11-09-2015 17:00;Dampoort Noord - ZoneId = 2;28
11-09-2015 17:00;Voldersstraat - BikeDirection = West;54
11-09-2015 17:00;Voldersstraat - BikeDirection = East;275
11-09-2015 18:00;Dampoort Noord - ZoneId = 1;205
11-09-2015 18:00;Dampoort Noord - ZoneId = 2;21
11-09-2015 18:00;Voldersstraat - BikeDirection = West;36
11-09-2015 18:00;Voldersstraat - BikeDirection = East;202
11-09-2015 19:00;Dampoort Noord - ZoneId = 1;208
11-09-2015 19:00;Dampoort Noord - ZoneId = 2;9
11-09-2015 19:00;Voldersstraat - BikeDirection = West;29
11-09-2015 19:00;Voldersstraat - BikeDirection = East;145
11-09-2015 20:00;Dampoort Noord - ZoneId = 1;139
11-09-2015 20:00;Dampoort Noord - ZoneId = 2;6
11-09-2015 20:00;Voldersstraat - BikeDirection = West;26
11-09-2015 20:00;Voldersstraat - BikeDirection = East;92
11-09-2015 21:00;Dampoort Noord - ZoneId = 1;101
11-09-2015 21:00;Dampoort Noord - ZoneId = 2;2
11-09-2015 21:00;Voldersstraat - BikeDirection = West;29
11-09-2015 21:00;Voldersstraat - BikeDirection = East;53
11-09-2015 22:00;Dampoort Noord - ZoneId = 1;65
11-09-2015 22:00;Dampoort Noord - ZoneId = 2;2
11-09-2015 22:00;Voldersstraat - BikeDirection = West;22
11-09-2015 22:00;Voldersstraat - BikeDirection = East;49
11-09-2015 23:00;Dampoort Noord - ZoneId = 1;58
11-09-2015 23:00;Dampoort Noord - ZoneId = 2;4
11-09-2015 23:00;Voldersstraat - BikeDirection = West;27
11-09-2015 23:00;Voldersstraat - BikeDirection = East;54
